ID Language Spoken at Home,Language Spoken at Home,Geography (2016),Geography (2017),Geography (2018),Geography (2019),Geography (2020),Geography (2021),Geography (2022),ID Geography (2016),ID Geography (2017),ID Geography (2018),ID Geography (2019),ID Geography (2020),ID Geography (2021),ID Geography (2022),Languages Spoken (2016),Languages Spoken (2017),Languages Spoken (2018),Languages Spoken (2019),Languages Spoken (2020),Languages Spoken (2021),Languages Spoken (2022)
0,"Speak Only English","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",559069,565120,568249,571977,578206,584415,559661
1,"Spanish","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",23426,23729,24385,23354,23222,23535,22227
2,"French (Incl. Cajun)","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",2713,2804,3650,3520,3763,4302,4311
3,"Haitian","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",319,384,463,235,165,182,90
4,"Italian","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",371,304,265,275,256,212,194
5,"Portuguese","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",471,605,764,688,846,791,701
6,"German","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",2300,2109,1963,2058,2008,1938,1588
7,"Yiddish, Pennsylvania Dutch or Other West Germanic Languages","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",327,335,339,326,413,385,220
8,"Greek","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",166,155,153,139,112,69,83
9,"Russian","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",4640,4590,4631,4407,5040,4868,4859
10,"Polish","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",341,410,395,388,280,218,153
11,"Serbo-Croatian","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",1184,1227,842,385,307,349,453
12,"Ukrainian or Other Slavic Languages","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",1082,1099,971,1117,967,886,1047
13,"Armenian","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",15,12,12,6,5,0,0
14,"Persian (Incl. Farsi, Dari)","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",761,712,681,695,738,508,603
15,"Gujarati","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",749,657,664,660,730,820,931
16,"Hindi","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",2866,2680,2695,3546,3162,3016,3399
17,"Urdu","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",698,996,957,1068,1321,1143,704
18,"Punjabi","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",106,113,203,189,232,207,258
19,"Bengali","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",362,502,600,640,576,724,1083
20,"Nepali, Marathi, or Other Indic Languages","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",1185,1191,1685,1667,1809,1910,1792
21,"Other Indo-European Languages","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",1360,1199,1129,1165,1193,1111,1375
22,"Telugu","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",2519,3218,3209,3025,3615,3345,2718
23,"Tamil","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",1795,1880,1740,2373,2918,3460,3495
24,"Malayalam, Kannada, or Other Dravidian Languages","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",710,875,1209,1328,1299,1129,944
25,"Chinese (Incl. Mandarin, Cantonese)","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",5226,5442,5987,6011,6618,6392,5769
26,"Japanese","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",569,533,577,792,893,943,873
27,"Korean","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",1166,1151,935,1090,944,494,669
28,"Hmong","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",6630,6670,6317,7213,8507,9458,10756
29,"Vietnamese","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",6912,6534,6876,6162,5079,5160,5321
30,"Khmer","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",1325,1377,1106,644,733,813,693
31,"Thai, Lao, or Other Tai-Kadai Languages","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",3172,2543,2502,2673,2551,2487,2324
32,"Other Languages of Asia","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",718,591,500,571,746,1023,1416
33,"Tagalog (Incl. Filipino)","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",907,937,1135,1343,1250,1199,1226
34,"Ilocano, Samoan, Hawaiian, or Other Austronesian Languages","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",126,178,329,444,440,461,381
35,"Arabic","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",1929,1974,2438,2905,2594,2572,2905
36,"Hebrew","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",351,359,275,384,345,248,221
37,"Amharic, Somali, or Other Afro-Asiatic Languages","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",6082,6323,7026,8063,7345,8198,10601
38,"Yoruba, Twi, Igbo, or Other Languages of Western Africa","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",3523,3932,3493,3735,3793,4958,5192
39,"Swahili or Other Languages of Central, Eastern, & Southern Africa","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",2316,2313,2673,3030,2490,2504,2712
40,"Navajo","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",0,0,0,0,0,0,0
41,"Other Native Languages of North America","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",225,282,282,383,406,388,353
42,"Other & Unspecified Languages","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","Congressional District 3, MN","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703","50000US2703",723,731,736,708,644,765,628